epoch,phase,train_loss,val_ap,val_acc,lr,patience_left,is_best
1,1,0.235014,0.979266,0.934667,1.00e-04,5,1
2,1,0.093774,0.973764,0.886000,1.00e-04,4,0
3,1,0.047131,0.975365,0.931333,1.00e-04,3,0
4,1,0.030305,0.978504,0.931667,1.00e-04,2,0
5,1,0.020720,0.978049,0.929667,5.00e-05,1,0
6,2,0.003766,0.983906,0.941333,1.00e-05,5,1
7,2,0.002289,0.984344,0.942333,1.00e-05,5,1
8,2,0.001408,0.982312,0.939000,1.00e-05,4,0
9,2,0.000553,0.984117,0.939000,1.00e-05,3,0
10,2,0.000595,0.984360,0.939333,1.00e-05,5,1
11,2,0.000369,0.984306,0.942333,5.00e-06,4,0
12,2,0.000322,0.984138,0.940333,5.00e-06,3,0
13,2,0.000300,0.984812,0.940667,5.00e-06,5,1
14,2,0.000252,0.983691,0.938667,5.00e-06,4,0
15,2,0.000188,0.984519,0.941333,5.00e-06,3,0
16,2,0.000094,0.984049,0.941333,5.00e-06,2,0
17,2,0.000118,0.984360,0.940667,2.50e-06,1,0
18,2,0.000058,0.984051,0.941333,2.50e-06,0,0
